Data_1,Data_2,Data_3,Data_4,Data_5,Data_6,Data_7,Data_8,Data_9,Data_10,Data_11,Data_12,Data_13,Data_14,Data_15,Data_16,TimeStampGlob
3,6,1,0,0,294,194,12,350,0,8,439,199,624,16,615,2.72857284545898
0,1,20,0,1,371,193,24,342,0,10,427,210,624,6,605,2.73883986473083
184,0,113,19,0,302,219,11,331,0,7,397,192,625,5,614,2.74908638000488
16,1,13,27,0,326,223,23,352,6,7,401,185,622,31,598,2.75974774360657
1,3,29,44,63,310,232,11,337,0,7,375,186,621,2,600,2.77027249336243
0,0,34,54,29,316,234,11,328,0,6,353,182,609,4,592,2.7803373336792
0,1,39,67,10,301,220,8,345,0,6,381,182,605,3,587,2.79074048995972
66,0,116,69,26,323,226,10,337,0,5,339,176,590,5,610,2.80157423019409
0,6,86,70,32,315,233,35,332,6,8,375,177,596,4,585,2.81237602233887
1,2,50,83,18,335,212,70,331,20,8,368,176,583,6,574,2.82263040542603
0,1,51,86,21,321,219,45,337,0,6,344,175,583,3,568,2.8328742980957
3,9,51,92,94,323,296,31,341,11,6,381,172,577,3,565,2.84327507019043
0,2,95,46,34,320,229,47,339,0,0,334,174,605,2,518,2.8536376953125
5,1,58,180,22,321,132,69,333,1,154,456,172,450,2,550,2.86433935165405
0,0,57,58,52,317,248,97,333,0,0,363,210,571,5,575,2.87486839294434
0,1,58,190,73,316,238,111,329,0,87,363,140,562,4,503,2.88542985916138
1,3,61,170,108,310,239,108,326,0,49,346,126,521,4,534,2.89632821083069
0,4,67,103,122,312,240,121,321,0,0,342,177,520,1,511,2.90653514862061
0,3,69,129,133,318,240,135,322,34,2,340,145,516,79,502,2.91746592521667
0,3,67,141,157,310,241,145,309,2,4,341,175,507,44,499,2.92766714096069
13,2,69,146,162,298,241,155,321,0,4,340,187,498,0,493,2.93856573104858
1,34,64,138,174,303,244,177,312,0,7,336,179,489,3,487,2.9488513469696
0,4,52,146,138,227,244,160,259,0,5,330,177,473,7,469,2.95952868461609
0,3,52,157,226,225,253,193,410,0,4,329,177,464,4,461,2.97002363204956
1,124,59,160,181,309,270,245,325,0,22,382,185,445,4,455,2.98084807395935
0,20,61,161,305,294,309,268,368,0,8,325,180,436,3,440,2.99124097824097
3,3,63,160,256,248,270,240,311,0,6,319,186,425,4,450,3.00164747238159
0,6,32,167,269,263,272,217,310,0,3,314,183,403,3,398,3.01234483718872
0,5,32,172,286,322,274,335,311,0,0,308,154,394,2,363,3.02289724349976
1,4,72,174,337,293,342,283,315,0,2,311,178,412,31,390,3.03364753723145
0,0,87,183,319,288,274,304,308,0,4,303,222,365,6,424,3.04417943954468
0,1,80,199,333,286,268,335,305,2,2,297,174,331,15,358,3.05502247810364
1,2,95,220,358,282,277,374,305,25,4,286,155,314,3,322,3.06544756889343
2,4,106,216,366,277,241,365,280,0,3,269,158,295,0,309,3.07606911659241
1,3,108,143,397,284,282,386,306,1,3,273,213,260,4,318,3.08648109436035
16,11,117,236,444,276,286,397,311,1,2,272,222,248,1,241,3.09711527824402
55,6,122,251,475,260,292,414,311,0,2,263,158,199,39,195,3.10798144340515
33,6,123,227,514,270,294,436,291,0,1,244,126,158,2,124,3.11879873275757
45,0,132,262,530,262,292,471,269,0,2,249,118,121,4,43,3.12944507598877
27,8,134,268,580,346,303,500,321,0,1,242,104,74,6,6,3.13998341560364
106,55,150,275,592,256,308,484,327,0,0,251,85,25,5,7,3.15039420127869
136,10,134,289,585,240,313,474,339,0,0,221,67,14,4,0,3.16073656082153
164,6,162,304,588,308,325,477,354,0,0,183,47,8,2,1,3.17131996154785
172,35,177,305,542,213,295,441,274,1,0,197,41,0,2,2,3.18206429481506
187,39,184,314,517,217,232,439,363,0,0,199,41,0,0,2,3.19263935089111
