Time,Phase_Change_Indices
1738245267.2888355,0.0
1738245267.3050342,0.0
1738245267.3259337,0.0
1738245267.3400517,0.0
1738245267.3559165,0.0
1738245267.375929,0.0
1738245267.3909843,0.0
1738245267.4067414,0.0
1738245267.425974,0.0
1738245267.4413414,0.0
1738245267.456141,0.0
1738245267.4764214,0.0
1738245267.4920962,0.0
1738245267.5061483,0.0
1738245267.5269668,0.0
1738245267.5411878,0.0
1738245267.556416,0.0
1738245267.5765586,0.0
1738245267.5917196,0.0
1738245267.6069968,0.0
1738245267.6270478,0.0
1738245267.6421492,0.0
1738245267.6568398,0.0
1738245267.677567,0.0
1738245267.6922295,0.0
1738245267.7067978,0.0
1738245267.7273517,0.0
1738245267.7420256,0.0
1738245267.757543,0.0
1738245267.777058,0.0
1738245267.792318,0.0
1738245267.808056,0.0
1738245267.8274486,0.0
1738245267.8426125,0.0
1738245267.8573844,0.0
1738245267.8774395,0.0
1738245267.8918068,0.0
1738245267.907627,0.0
1738245267.9273646,0.0
1738245267.942345,0.0
1738245267.9572551,0.0
1738245267.977917,0.0
1738245267.992291,0.0
1738245268.0079856,0.0
1738245268.0278397,0.0
1738245268.041891,0.0
1738245268.057659,0.0
1738245268.0773754,0.0
1738245268.0928123,0.0
1738245268.1082764,0.0
1738245268.127879,0.0
1738245268.143122,0.0
1738245268.158186,0.0
1738245268.1777496,0.0
1738245268.1924307,0.0
1738245268.207456,0.0
1738245268.2280822,0.0
1738245268.2423236,0.0
1738245268.2573056,0.0
1738245268.2779026,0.0
1738245268.2923698,0.0
1738245268.3079352,0.0
1738245268.328162,0.0
1738245268.3430874,0.0
1738245268.3578014,0.0
1738245268.3778296,0.0
1738245268.3925183,0.0
1738245268.4082792,0.0
1738245268.4280438,0.0
1738245268.4426472,0.0
1738245268.4575608,0.0
1738245268.47808,0.0
1738245268.4923637,0.0
1738245268.5078268,0.0
1738245268.5282469,0.0
1738245268.5422175,0.0
1738245268.5579038,0.0
1738245268.5780928,0.0
1738245268.593092,0.0
1738245268.6081302,0.0
1738245268.6283193,0.0
1738245268.6426065,0.0
1738245268.6587343,0.0
1738245268.6786797,0.0
1738245268.696198,0.0
1738245268.7168596,0.0
1738245268.7317717,0.0
1738245268.7473652,0.0
1738245268.7677803,0.0
1738245268.783074,0.0
1738245268.7992554,0.0
1738245268.8186252,0.0
1738245268.836313,0.0
1738245268.853015,0.0
1738245268.8694997,0.0
1738245268.888088,0.0
1738245268.9042544,0.0
1738245268.920374,0.0
1738245268.9380088,0.0
1738245268.955501,0.0
1738245268.97245,0.0
1738245268.9888456,0.0
1738245269.006739,0.0
1738245269.0270083,0.0
1738245269.041511,0.0
1738245269.057964,0.0
1738245269.0787065,0.0
1738245269.0969994,0.0
1738245269.113734,0.0
1738245269.129911,0.0
1738245269.1458766,0.0
1738245269.160507,0.0
1738245269.179525,0.0
1738245269.1940289,0.0
1738245269.2100165,0.0
1738245269.229231,0.0
1738245269.244086,0.0
1738245269.259483,0.0
1738245269.2802396,0.0
1738245269.2941992,0.0
1738245269.3098276,0.0
1738245269.329631,0.0
1738245269.344267,0.0
1738245269.360073,0.0
1738245269.379362,0.0
1738245269.3943253,0.0
1738245269.410328,0.0
1738245269.429355,0.0
1738245269.4440646,0.0
1738245269.460667,0.0
1738245269.4799392,0.0
1738245269.4945,0.0
1738245269.510153,0.0
1738245269.5302129,0.0
1738245269.5444162,0.0
1738245269.5607345,0.0
1738245269.5797565,0.0
1738245269.5946834,0.0
1738245269.6106424,0.0
1738245269.630678,0.0
1738245269.6452518,0.0
1738245269.661174,0.0
1738245269.68047,0.0
1738245269.6953113,0.0
1738245269.711692,0.0
1738245269.7308578,0.0
1738245269.745033,0.0
1738245269.7617252,0.0
1738245269.7809105,0.0
1738245269.796084,0.0
1738245269.811991,0.0
1738245269.8309584,0.0
1738245269.8453186,0.0
1738245269.8611662,0.0
1738245269.8810835,0.0
1738245269.8956227,0.0
1738245269.911563,0.0
1738245269.9309862,0.0
1738245269.9453304,0.0
1738245269.9616275,0.0
1738245269.981309,0.0
1738245269.9959111,0.0
1738245270.011787,0.0
1738245270.031594,0.0
1738245270.0461018,0.0
1738245270.0615778,0.0
1738245270.081777,0.0
1738245270.0960798,0.0
1738245270.112365,0.0
1738245270.131055,0.0
1738245270.1460888,0.0
1738245270.1625855,0.0
1738245270.181345,0.0
1738245270.1961782,0.0
